temperature,line_speed,shift,operator_experience,machine_age,defect
68.19,106.48,Day,8.2,23.1,0
82.4,65.31,Day,7.0,28.6,0
86.17,73.0,Night,5.3,37.2,0
73.6,91.35,Night,6.7,24.4,0
82.62,70.27,Day,6.3,19.8,0
78.09,79.21,Night,6.8,24.1,0
79.25,95.74,Night,8.0,26.5,0
74.72,86.16,Night,7.3,30.6,0
84.68,91.05,Day,0.5,22.9,0
82.56,83.91,Day,9.5,25.4,0
77.5,74.26,Day,8.4,26.8,0
75.15,69.03,Day,6.3,21.3,0
82.42,91.16,Night,8.2,20.1,0
80.19,67.5,Night,5.5,27.6,0
70.96,85.34,Day,8.2,19.6,0
81.31,71.46,Day,5.6,26.9,0
75.94,74.62,Day,9.9,28.3,0
80.24,83.48,Day,4.8,18.2,0
72.09,73.03,Night,6.7,24.6,0
83.49,81.34,Day,6.2,13.6,0
86.32,100.21,Night,4.0,24.0,0
82.97,82.28,Night,8.8,34.9,0
75.65,95.04,Day,8.3,28.0,0
71.09,68.77,Day,5.0,23.8,0
74.09,83.62,Night,6.8,14.4,0
79.34,62.82,Day,10.8,33.6,0
89.08,73.06,Night,5.2,20.1,0
85.67,95.57,Night,5.5,16.9,0
81.6,92.21,Day,3.7,22.0,0
76.5,68.92,Day,7.4,15.4,0
70.29,76.92,Day,6.2,15.7,0
86.47,85.04,Night,7.0,12.6,1
78.55,77.37,Night,5.4,11.2,0
75.0,91.89,Night,6.0,27.6,0
74.51,101.95,Night,4.7,36.5,0
62.36,83.93,Day,6.4,31.3,0
70.68,87.74,Day,7.2,17.0,0
75.27,98.18,Night,6.9,33.5,0
89.97,107.14,Day,3.2,32.8,0
72.1,89.16,Night,7.0,25.2,0
76.88,85.06,Night,9.3,23.2,0
79.99,75.67,Night,3.4,4.2,0
88.26,80.69,Day,6.4,13.6,0
69.6,69.27,Day,7.8,33.7,0
79.19,89.89,Night,5.2,16.3,0
81.05,99.4,Night,4.7,15.7,0
76.43,68.06,Day,5.0,13.7,0
84.6,84.61,Night,5.7,29.3,0
88.05,95.98,Night,1.9,39.4,0
74.31,95.66,Day,5.9,33.1,0
83.4,97.6,Day,4.7,20.9,0
73.74,97.97,Night,8.8,32.1,0
74.04,86.13,Day,7.7,22.4,0
68.62,80.79,Day,10.1,17.1,0
84.03,84.79,Day,1.3,24.5,0
79.27,85.46,Night,7.6,23.3,0
79.03,90.49,Day,7.2,31.6,0
68.81,76.66,Day,7.8,38.1,0
78.15,82.85,Night,7.1,29.5,0
80.54,86.59,Night,4.3,13.9,0
76.51,75.08,Day,9.3,36.0,0
84.08,103.66,Night,4.4,18.9,0
80.19,62.85,Night,7.9,28.3,0
74.93,81.98,Day,4.9,32.6,0
68.61,86.76,Night,3.7,26.8,0
83.72,70.45,Night,5.5,22.8,0
84.03,87.44,Day,6.4,10.5,0
69.04,101.3,Day,7.6,19.7,0
75.83,141.15,Day,3.6,21.7,0
78.72,70.79,Day,5.3,26.7,0
73.95,101.59,Day,8.4,12.1,0
84.52,103.72,Night,6.6,23.3,0
71.7,76.95,Night,6.0,29.2,0
87.86,87.37,Night,4.8,23.1,0
74.08,113.17,Day,5.2,17.3,0
69.7,87.42,Night,3.7,28.0,0
67.52,90.96,Day,7.1,27.3,0
86.29,88.47,Day,7.5,19.0,0
70.77,72.22,Day,5.2,28.9,0
74.05,119.99,Day,11.3,18.1,0
78.59,86.88,Day,4.1,16.6,0
76.0,100.0,Night,5.7,33.5,0
84.93,101.54,Night,5.0,20.0,0
83.14,83.97,Day,9.7,35.2,0
77.27,84.99,Night,3.7,32.7,1
76.38,86.11,Day,3.9,27.2,0
75.21,74.64,Night,4.0,17.2,0
77.98,91.73,Night,5.9,28.6,0
69.15,64.83,Night,5.4,23.1,0
82.38,95.08,Day,3.6,32.5,0
72.12,95.9,Night,6.1,15.5,0
71.32,94.55,Night,9.9,30.9,0
80.2,97.45,Night,5.2,34.3,0
69.71,94.08,Night,4.3,29.7,0
74.71,97.14,Day,6.7,27.9,0
73.35,94.42,Day,6.3,33.3,0
77.68,82.3,Day,5.3,13.5,0
70.72,71.88,Day,3.6,22.5,1
83.2,92.82,Night,7.0,14.3,0
81.16,84.04,Night,7.1,21.4,0
72.44,92.61,Night,7.3,21.1,0
83.18,74.97,Night,4.1,25.3,0
90.64,77.95,Night,9.2,37.7,0
81.98,94.77,Day,5.7,20.8,0
71.44,80.38,Day,6.6,14.1,0
74.86,66.71,Day,6.7,17.9,0
79.88,68.0,Day,6.0,24.6,0
86.79,72.96,Day,6.3,6.0,0
78.96,100.14,Night,4.5,21.8,0
69.28,79.67,Day,4.2,24.4,0
62.42,69.29,Day,5.7,16.3,0
75.03,83.5,Day,6.4,30.6,0
85.46,80.86,Night,8.0,26.5,0
78.96,102.5,Day,8.6,16.8,0
72.49,95.17,Night,8.2,29.6,0
80.15,90.22,Day,8.5,14.4,0
87.26,106.02,Night,8.4,26.7,0
79.23,72.79,Day,4.3,15.1,0
90.03,83.77,Night,5.4,26.7,0
81.85,77.02,Night,6.9,15.9,0
59.79,86.61,Night,6.2,23.3,0
86.34,65.18,Day,7.9,20.7,0
80.83,81.17,Night,5.7,11.3,0
70.46,70.05,Day,8.8,36.3,0
80.47,85.09,Day,4.3,32.7,0
77.97,86.42,Day,4.5,28.0,0
73.09,92.27,Night,7.0,24.7,0
83.72,89.66,Night,9.9,36.0,0
86.67,101.81,Day,8.9,24.0,0
87.46,76.61,Day,5.3,16.5,0
127.54,80.03,Day,10.6,10.7,0
77.21,71.8,Day,5.0,17.5,0
79.13,94.22,Day,6.9,17.6,0
78.47,132.6,Night,8.8,32.2,0
76.95,96.75,Day,8.1,34.1,0
92.5,125.16,Night,5.3,18.6,0
80.89,91.36,Day,5.9,23.0,0
79.55,88.4,Day,3.6,32.7,0
82.62,70.07,Night,10.2,42.7,1
75.62,80.05,Day,3.4,30.4,0
73.0,78.7,Day,7.7,22.4,0
71.36,75.35,Day,6.6,12.0,0
68.06,83.81,Day,5.8,26.6,0
75.43,87.66,Night,0.6,20.1,0
76.4,69.5,Night,9.3,20.1,0
69.56,84.3,Day,3.9,23.9,0
77.11,95.18,Day,4.7,23.6,0
82.59,69.36,Day,8.8,29.0,0
73.83,90.0,Night,4.7,19.7,0
87.37,84.66,Night,6.7,11.5,0
88.7,88.99,Day,5.9,26.9,0
73.5,95.87,Day,4.3,20.9,0
78.97,99.18,Day,9.8,28.4,0
90.66,75.99,Night,1.8,18.2,0
86.28,96.71,Night,1.7,23.8,0
75.66,107.69,Day,4.8,33.0,1
75.33,77.36,Night,4.0,18.9,0
78.95,89.26,Night,3.8,36.6,1
83.85,93.96,Day,6.2,33.3,0
88.44,79.74,Night,2.9,22.5,1
84.93,92.04,Day,1.3,32.2,0
75.02,66.36,Day,5.3,29.8,0
80.01,90.96,Day,4.0,25.7,0
80.78,91.3,Night,7.7,34.2,1
79.77,105.36,Night,3.0,23.0,1
78.01,98.36,Day,6.4,19.9,1
81.58,76.87,Night,4.0,15.6,0
75.05,87.19,Day,9.1,15.6,0
69.66,76.9,Night,5.6,25.2,0
86.14,88.6,Day,6.0,30.7,0
80.77,91.44,Night,7.8,17.5,0
72.64,85.0,Night,8.0,19.1,0
95.29,98.34,Day,2.6,21.5,0
76.86,106.97,Day,6.6,22.7,0
70.98,103.15,Day,6.7,19.9,0
87.17,88.29,Day,8.4,20.7,0
72.85,85.5,Day,5.1,24.2,0
86.03,82.15,Night,8.2,33.3,0
79.77,62.04,Day,9.3,8.4,0
79.95,89.25,Night,8.7,40.3,0
87.51,75.88,Day,6.4,34.5,0
81.94,58.82,Night,7.9,21.5,0
79.41,100.24,Day,7.0,22.3,0
83.18,83.17,Night,5.3,13.0,0
83.29,87.58,Night,3.6,32.5,0
68.42,91.75,Night,4.2,14.1,0
81.27,88.29,Day,3.7,33.2,0
72.79,75.98,Day,10.7,27.7,0
80.93,93.93,Night,5.0,11.9,0
79.85,79.15,Day,4.6,30.5,0
84.34,87.75,Night,5.8,27.2,0
75.2,86.42,Night,7.4,18.9,0
76.27,68.83,Night,7.6,27.8,0
71.52,92.27,Day,7.5,17.3,0
76.42,71.18,Day,8.9,15.6,0
86.06,115.62,Day,9.6,21.5,0
86.43,84.71,Day,6.8,18.7,0
77.59,91.9,Night,5.6,32.7,0
82.77,97.82,Day,6.2,5.1,0
72.58,85.8,Night,4.3,28.2,1
77.42,81.83,Day,7.4,19.4,0
88.98,87.81,Day,5.5,30.1,0
88.78,109.26,Day,2.5,29.2,0
84.56,106.96,Night,5.8,10.5,0
85.71,102.64,Day,6.4,22.7,0
67.87,93.13,Night,5.5,17.9,0
76.36,84.79,Night,7.8,16.3,0
78.64,90.42,Night,1.3,14.9,0
80.72,65.7,Night,10.4,25.0,1
87.76,85.7,Night,4.3,27.6,0
84.22,98.66,Night,4.0,10.9,0
87.79,82.65,Night,7.0,19.2,0
81.69,64.69,Day,3.6,17.1,0
77.63,97.47,Day,5.6,25.4,0
79.28,99.62,Day,6.9,7.0,0
80.71,79.69,Day,6.9,26.4,0
77.63,76.48,Night,7.6,28.0,0
84.56,76.85,Night,7.8,16.1,0
79.87,93.77,Night,6.7,20.6,0
78.71,70.18,Night,3.2,24.9,1
79.03,72.27,Night,6.1,20.6,0
82.3,97.89,Night,7.8,24.6,0
76.24,90.23,Day,4.0,31.1,0
80.25,71.94,Night,3.8,38.3,0
83.31,79.0,Day,6.4,36.8,0
74.11,103.41,Night,10.0,27.8,1
87.11,87.27,Day,4.3,27.9,0
74.53,77.58,Day,4.4,14.0,0
85.55,96.71,Day,6.7,26.7,0
77.72,87.41,Night,5.5,17.6,0
74.21,65.66,Night,7.5,13.8,0
82.87,124.4,Night,5.4,32.6,1
81.13,80.29,Night,6.0,21.6,0
79.91,81.33,Day,6.5,19.3,0
88.12,72.65,Night,3.9,12.5,1
68.91,73.34,Day,5.4,19.4,0
86.53,57.55,Day,9.1,37.2,0
74.6,104.04,Night,4.5,11.7,0
77.18,79.89,Day,5.2,18.9,0
61.37,72.23,Day,8.7,27.9,0
84.22,91.33,Day,6.3,45.2,1
78.63,98.24,Day,6.7,15.7,0
76.41,80.41,Day,3.8,29.3,1
75.6,98.47,Day,6.8,35.5,0
71.31,89.69,Night,4.3,17.8,0
87.32,60.24,Night,5.4,33.4,0
84.45,95.26,Day,7.8,41.1,0
82.84,92.78,Day,9.4,17.2,0
81.11,83.25,Day,3.5,24.1,0
64.49,83.58,Day,7.2,33.4,0
83.26,75.45,Day,1.8,38.8,0
84.48,82.57,Day,7.4,30.1,0
84.07,70.47,Day,8.6,19.5,0
69.76,58.01,Night,3.0,7.7,0
69.96,77.36,Day,3.1,30.6,0
76.66,84.61,Day,7.8,33.4,0
79.97,110.44,Night,5.4,17.8,0
84.53,70.16,Day,4.6,21.8,0
83.32,79.7,Day,11.3,18.1,0
74.39,71.98,Night,8.6,13.0,0
80.53,54.44,Day,5.7,28.8,0
73.45,93.85,Day,5.0,22.5,0
79.95,90.73,Day,5.7,26.3,0
72.93,80.02,Day,6.4,17.2,0
71.57,92.51,Day,7.2,27.1,0
80.32,73.21,Night,9.7,23.7,0
67.02,64.09,Day,5.3,17.6,0
75.29,110.86,Day,6.8,17.0,0
80.55,98.48,Day,7.1,22.5,0
76.52,71.36,Night,7.4,17.7,0
87.24,77.65,Day,7.3,31.3,0
70.67,79.4,Day,6.2,30.1,0
76.63,72.19,Night,4.2,15.4,0
79.78,78.87,Night,8.9,31.0,0
73.09,103.93,Night,1.1,18.2,0
89.26,83.33,Night,5.0,22.6,0
82.53,78.73,Day,3.5,30.0,0
79.3,92.13,Day,7.2,9.1,0
73.27,81.95,Day,6.8,25.5,0
77.78,85.43,Night,2.9,12.3,0
74.55,92.87,Day,5.8,24.3,0
79.73,79.56,Day,5.6,7.7,0
81.69,99.64,Day,8.2,10.7,0
80.11,87.2,Day,8.4,25.1,0
84.32,76.56,Day,0.5,16.1,0
79.85,68.55,Night,5.4,32.6,0
75.28,80.25,Day,3.8,23.2,0
77.39,71.26,Day,5.1,28.4,0
83.07,113.41,Night,4.6,30.9,0
83.46,65.02,Day,5.8,34.0,0
81.7,72.57,Day,2.9,36.2,0
69.88,86.83,Day,4.9,23.9,0
82.53,102.12,Night,5.8,20.1,0
85.21,106.75,Night,6.6,24.3,0
79.54,95.4,Night,8.6,21.2,0
63.09,97.45,Night,6.8,20.4,0
77.12,104.18,Day,4.8,31.3,0
83.9,111.45,Night,3.9,23.8,0
75.0,84.87,Day,4.9,24.5,0
73.69,73.25,Day,5.6,25.7,0
72.12,95.86,Day,5.8,10.5,0
79.3,108.61,Day,5.2,40.0,0
75.35,82.17,Day,8.9,24.5,0
76.54,81.72,Night,7.3,17.4,0
72.27,86.27,Day,4.6,21.9,0
83.4,71.09,Day,6.0,15.3,0
74.0,97.89,Day,5.0,12.2,0
88.47,110.47,Night,5.3,25.1,1
68.62,82.51,Day,2.0,12.9,0
72.55,68.53,Night,5.9,26.0,0
82.6,89.61,Night,9.5,23.7,0
81.91,97.47,Night,8.1,8.4,0
73.84,80.77,Day,5.2,26.1,0
89.81,78.41,Day,7.0,14.3,0
78.72,54.44,Day,3.9,26.3,0
65.64,63.9,Night,5.4,18.8,0
89.04,96.96,Night,6.3,21.1,0
72.63,60.96,Day,4.7,24.0,0
81.99,103.22,Night,6.5,27.2,0
84.64,88.61,Day,4.3,17.6,0
91.29,82.39,Day,5.7,29.6,0
71.14,81.41,Day,3.6,31.5,0
77.66,83.28,Day,6.6,34.2,0
78.55,98.5,Day,4.6,19.0,0
82.0,79.63,Night,6.5,27.8,0
75.53,89.59,Day,7.1,22.8,0
82.23,73.26,Day,5.4,10.2,0
78.11,82.48,Night,6.9,15.6,0
77.94,87.4,Day,8.9,35.1,0
82.77,103.59,Day,4.2,33.4,0
78.55,102.82,Night,6.7,27.8,0
82.03,98.21,Night,5.3,30.1,0
69.09,72.29,Night,4.9,26.6,0
81.06,92.71,Night,9.8,30.4,0
84.93,104.13,Night,7.3,19.5,0
75.69,67.23,Night,5.0,32.1,0
81.58,99.52,Day,4.1,15.7,0
111.92,101.41,Night,6.7,15.9,0
67.32,112.07,Day,6.2,32.6,1
78.78,98.65,Night,6.1,15.3,0
78.92,81.23,Night,6.7,25.6,0
69.47,89.61,Day,5.0,21.2,0
88.07,93.07,Night,6.1,19.0,0
85.34,79.26,Night,6.1,18.6,0
77.91,104.47,Day,7.2,32.1,0
80.93,99.78,Day,8.4,24.1,0
88.31,86.92,Day,3.6,33.0,0
77.24,112.26,Day,7.2,17.9,0
77.4,86.18,Day,7.0,19.2,0
74.06,88.51,Day,6.0,25.9,0
71.19,101.49,Night,7.5,48.7,0
76.06,92.42,Night,11.6,27.2,0
74.42,98.7,Night,4.6,17.8,0
76.13,150.27,Night,2.1,21.2,0
75.21,90.3,Day,9.9,25.9,0
72.24,82.12,Day,3.7,22.6,0
83.61,94.34,Day,9.5,30.2,0
84.35,94.08,Day,7.5,14.0,0
75.05,85.38,Night,7.2,21.7,0
83.76,80.29,Day,3.9,33.2,0
74.92,112.79,Night,6.9,23.1,0
82.31,103.0,Day,5.2,25.9,0
80.69,80.13,Day,6.9,31.3,0
74.87,93.36,Day,7.8,23.6,0
72.0,75.27,Day,6.8,37.3,0
70.29,96.64,Day,8.7,22.8,0
81.63,109.75,Night,9.7,26.0,0
84.52,89.92,Night,7.2,29.8,0
77.05,65.85,Day,6.3,19.2,0
73.81,79.29,Day,5.7,13.6,0
82.87,79.51,Night,8.7,12.1,0
78.35,91.25,Night,4.9,22.9,1
72.12,76.99,Day,6.3,30.5,0
83.77,88.69,Day,8.0,28.8,0
69.3,86.33,Day,6.9,34.4,0
71.94,109.4,Day,8.5,30.4,0
83.06,86.55,Day,8.8,23.1,0
82.1,79.93,Night,3.6,33.6,1
78.43,83.2,Day,5.7,20.4,0
80.09,99.0,Day,5.9,33.2,0
71.76,82.62,Night,7.2,25.3,0
76.54,93.85,Night,7.8,14.6,0
81.77,86.94,Night,4.4,38.7,0
80.88,104.27,Night,5.0,30.9,0
67.03,84.83,Day,3.1,12.3,0
77.35,91.76,Day,8.3,17.0,0
74.96,78.88,Day,6.1,28.6,0
78.88,91.31,Day,2.5,20.3,0
91.07,114.75,Day,7.1,23.3,0
80.86,83.09,Day,4.3,39.0,0
72.49,91.87,Day,9.9,17.1,0
83.06,106.07,Night,4.8,19.9,0
70.99,87.08,Day,3.5,16.3,0
80.34,92.93,Night,6.0,22.6,0
94.92,74.52,Night,7.6,17.1,0
74.2,92.1,Day,3.5,15.5,0
71.48,83.3,Day,6.3,21.9,0
71.24,79.87,Day,5.6,22.1,0
71.9,88.02,Day,5.5,22.3,0
77.5,79.21,Day,6.8,5.4,0
81.46,99.46,Day,5.7,18.8,0
80.75,66.71,Day,6.7,26.8,0
79.96,76.44,Night,7.9,21.6,0
81.62,85.66,Night,5.5,15.9,0
83.6,102.05,Night,6.0,32.9,1
71.91,86.87,Day,8.4,29.2,0
78.87,81.62,Day,7.7,33.3,0
73.95,110.76,Day,8.0,26.5,0
69.27,73.14,Day,7.0,31.9,0
74.84,96.09,Night,7.9,27.5,0
68.85,82.14,Day,5.3,21.5,0
72.74,59.08,Day,7.6,23.4,0
76.08,90.03,Day,3.8,20.3,0
73.7,52.72,Day,6.4,24.0,0
84.2,84.92,Day,4.7,32.9,0
83.57,78.15,Night,4.2,23.7,0
84.74,95.8,Night,4.4,34.2,0
72.72,82.5,Day,6.4,15.9,0
75.03,98.63,Day,6.8,35.8,0
77.71,87.96,Day,8.8,22.8,0
84.6,69.94,Day,5.5,17.3,0
67.95,99.04,Night,6.4,30.6,0
72.78,87.12,Night,7.7,40.9,0
86.34,78.15,Day,8.2,33.5,0
87.88,80.58,Night,5.3,22.1,0
73.18,108.42,Day,5.4,28.7,0
81.82,95.62,Night,8.8,25.1,0
77.07,93.8,Day,8.5,28.8,0
76.72,79.93,Day,8.0,26.8,0
75.4,69.22,Day,4.6,37.6,0
78.24,71.57,Day,8.5,34.8,0
76.34,71.99,Day,6.2,29.7,0
76.88,71.27,Night,7.0,7.9,0
82.02,68.51,Night,6.6,26.7,0
72.97,92.23,Day,4.2,17.1,0
69.16,73.63,Day,2.8,29.6,0
85.25,81.99,Night,3.3,24.9,0
86.33,102.0,Night,6.3,16.3,1
77.92,84.83,Day,6.7,27.6,0
76.61,83.0,Night,2.0,16.4,0
97.18,91.64,Night,5.1,26.4,0
70.44,103.45,Day,7.0,19.6,0
75.02,100.03,Night,4.8,16.3,0
76.45,79.35,Day,6.3,24.6,0
85.41,93.73,Day,4.1,28.5,0
73.21,89.61,Night,4.2,26.3,0
71.61,93.02,Day,2.3,40.4,0
76.79,78.82,Day,5.3,1.2,0
82.57,84.51,Night,2.8,26.3,0
71.83,105.96,Night,3.6,25.9,0
92.76,93.7,Night,6.0,11.1,0
81.04,69.35,Day,5.8,27.2,0
78.62,113.64,Night,7.0,24.3,1
77.55,75.53,Night,7.2,8.8,0
88.28,84.17,Day,6.2,32.6,0
72.67,73.31,Night,6.9,27.2,0
81.55,75.25,Night,8.5,36.8,0
90.97,91.84,Day,2.7,8.8,0
80.07,90.14,Night,4.9,17.4,0
78.73,80.7,Night,3.1,20.5,0
81.22,94.59,Night,6.9,24.5,0
86.62,101.18,Day,8.0,32.5,0
76.46,76.36,Day,1.4,27.9,0
86.45,73.27,Day,5.5,28.3,0
90.48,99.27,Night,5.8,32.6,0
80.34,78.72,Night,3.3,10.2,0
80.71,80.88,Day,3.0,9.6,0
71.56,78.47,Day,8.2,20.6,0
77.53,84.76,Day,9.5,19.8,0
79.04,78.29,Night,2.6,9.1,0
75.76,79.01,Day,7.9,25.9,0
76.4,88.91,Day,3.8,14.3,0
75.84,85.29,Day,4.3,22.3,0
79.98,85.94,Day,6.1,21.7,0
72.66,63.02,Day,7.6,32.5,0
64.8,89.83,Day,9.0,27.5,0
82.09,74.39,Night,7.3,33.4,0
68.2,94.8,Day,9.0,22.7,0
85.11,70.63,Night,6.2,13.3,0
65.32,95.29,Day,6.9,24.9,0
77.51,84.71,Night,6.4,27.1,0
80.33,101.5,Day,4.0,22.8,0
65.22,88.18,Night,3.6,14.0,0
73.72,100.58,Night,4.6,22.6,0
84.67,82.33,Day,7.3,34.7,0
72.52,103.73,Day,6.0,21.6,0
75.03,85.56,Day,8.5,16.2,0
73.23,103.54,Day,5.6,27.2,0
74.69,89.54,Night,6.9,21.2,0
81.99,83.77,Day,8.1,32.8,0
80.62,94.69,Day,8.1,16.9,0
86.65,84.05,Night,9.4,32.2,0
77.61,76.0,Day,4.8,33.3,0
94.79,86.07,Day,8.2,26.2,0
81.31,63.74,Day,4.6,25.7,0
81.38,92.44,Day,5.5,21.2,0
77.98,82.33,Day,2.7,27.9,0
72.77,90.66,Night,6.5,21.6,1
67.7,79.38,Day,6.2,20.8,0
72.28,62.65,Day,7.5,28.9,0
86.61,92.71,Day,7.6,45.7,0
64.71,70.36,Day,6.8,36.8,0
77.63,89.28,Day,4.7,31.6,0
73.12,82.95,Day,3.4,14.1,0
84.27,84.52,Night,9.7,32.3,0
83.15,74.71,Day,4.8,19.2,0
72.66,92.91,Night,5.8,26.8,0
77.65,77.71,Night,3.4,17.2,0
80.9,102.33,Night,9.4,21.5,0
